Hour,Minute:Second,DeviceId,EventId,Parameter
07,18:15,613,43,4
07,18:16,613,43,1
07,18:23,613,7,4
07,18:23,613,7,8
07,18:23,613,8,4
07,18:23,613,8,8
07,18:23,613,6,4
07,18:23,613,6,8
07,18:24,613,44,4
07,18:25,613,43,5
07,18:25,613,43,4
07,18:27,613,0,3
07,18:27,613,0,7
07,18:27,613,10,4
07,18:27,613,10,8
07,18:27,613,11,4
07,18:27,613,11,8
07,18:27,613,1,3
07,18:27,613,1,7
07,18:27,613,9,4
07,18:27,613,9,8
07,18:27,613,2,2
07,18:27,613,2,4
07,18:27,613,2,6
07,18:27,613,2,8
07,18:27,613,12,8
07,18:27,613,31,2
07,18:27,613,2,2
07,18:27,613,2,6
07,18:27,613,46,4
07,18:27,613,46,8
07,18:28,613,44,3
07,18:29,613,3,3
07,18:29,613,3,7
07,18:30,613,7,3
07,18:30,613,7,7
07,18:30,613,8,3
07,18:30,613,8,7
07,18:30,613,63,6
07,18:30,613,4,3
07,18:30,613,4,7
07,18:31,613,43,3
07,18:33,613,10,3
07,18:33,613,10,7
07,18:33,613,9,3
07,18:33,613,9,7
07,18:33,613,12,4
07,18:33,613,64,6
07,18:34,613,48,3
07,18:34,613,48,7
07,18:35,613,0,2
07,18:35,613,0,6
07,18:35,613,11,3
07,18:35,613,11,7
07,18:35,613,1,2
07,18:35,613,1,6
07,18:35,613,2,3
07,18:35,613,12,3
07,18:35,613,12,7
07,18:35,613,31,1
07,18:35,613,31,2
07,18:35,613,61,5
07,18:35,613,65,6
07,18:35,613,21,2
07,18:35,613,21,6
07,18:35,613,46,3
07,18:35,613,46,7
07,18:50,613,2,1
07,18:50,613,2,5
07,18:50,613,22,2
07,18:50,613,22,6
07,18:50,613,47,1
07,18:50,613,47,5
07,18:50,613,49,1
07,18:50,613,49,5
07,19:14,613,43,7
07,19:15,613,23,2
07,19:15,613,23,6
07,19:15,613,3,2
07,19:15,613,3,6
07,19:17,613,7,2
07,19:17,613,7,6
07,19:17,613,8,2
07,19:17,613,8,6
07,19:17,613,6,2
07,19:17,613,6,6
07,19:17,613,2,1
07,19:17,613,2,3
07,19:17,613,2,4
07,19:17,613,2,5
07,19:17,613,2,7
07,19:17,613,2,8
07,19:17,613,47,3
07,19:17,613,47,4
07,19:17,613,47,7
07,19:17,613,47,8
07,19:17,613,49,3
07,19:17,613,49,4
07,19:17,613,49,7
07,19:17,613,49,8
07,19:20,613,2,1
07,19:20,613,2,3
07,19:20,613,2,4
07,19:20,613,2,7
07,19:20,613,2,8
07,19:20,613,44,5
07,19:21,613,0,1
07,19:21,613,0,5
07,19:21,613,10,2
07,19:21,613,10,6
07,19:21,613,11,2
07,19:21,613,11,6
07,19:21,613,1,1
07,19:21,613,1,5
07,19:21,613,9,2
07,19:21,613,9,6
07,19:21,613,2,2
07,19:21,613,2,3
07,19:21,613,2,4
07,19:21,613,2,6
07,19:21,613,2,7
07,19:21,613,2,8
07,19:21,613,12,6
07,19:21,613,31,3
07,19:23,613,3,1
07,19:23,613,3,5
07,19:25,613,44,1
07,19:27,613,7,1
07,19:27,613,7,5
07,19:27,613,8,1
07,19:27,613,8,5
07,19:27,613,63,5
07,19:27,613,4,5
07,19:30,613,10,1
07,19:30,613,10,5
07,19:30,613,9,1
07,19:30,613,9,5
07,19:30,613,12,2
07,19:30,613,64,5
07,19:30,613,48,1
07,19:30,613,48,5
07,19:32,613,0,4
07,19:32,613,0,8
07,19:32,613,11,1
07,19:32,613,11,5
07,19:32,613,1,4
07,19:32,613,1,8
07,19:32,613,2,2
07,19:32,613,2,3
07,19:32,613,2,6
07,19:32,613,2,7
07,19:32,613,12,1
07,19:32,613,12,5
07,19:32,613,31,1
07,19:32,613,61,6
07,19:32,613,65,5
07,19:32,613,46,1
07,19:32,613,46,5
07,19:37,613,48,4
07,19:37,613,48,8
07,19:41,613,43,5
07,19:42,613,3,4
07,19:42,613,3,8
07,19:50,613,43,1
07,20:01,613,2,2
07,20:01,613,2,3
07,20:01,613,2,6
07,20:01,613,44,4
07,20:01,613,44,7
07,20:04,613,2,2
07,20:04,613,2,3
07,20:04,613,2,6
07,20:04,613,2,7
07,20:04,613,43,4
07,20:04,613,43,7
07,20:06,613,2,2
07,20:06,613,2,3
07,20:06,613,2,6
07,20:06,613,44,4
07,20:06,613,44,7
07,20:10,613,43,4
07,20:11,613,7,4
07,20:11,613,7,8
07,20:11,613,8,4
07,20:11,613,8,8
07,20:11,613,6,4
07,20:11,613,6,8
